account_id|tweet_text|tweet_id|tweet_favorite_count|retweet_count|user_id|user_screen_name|user_location|tweet_created_at|tweet_language|tweet_location|tweet_source|original_tweet_id
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803425711239221248|0|169|535599798|SupremeHarish|Bengaluru, Karnataka|Tue Nov 29 02:29:51 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: Inspired by Sh. @narendramodi ji's #Sandesh2Soldiers BJP Karnataka Karyakartas will visit Soldiers residence with sweets&amp;celebr…|803425161521332224|0|487|142379064|_dharam_vir| हिन्दू राष्ट्र भारत |Tue Nov 29 02:27:40 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|790896096180441088
bsy|RT @BSYBJP: Addressed electrifying OBC Morcha Samavesha at Bengaluru inaugurated by Sh. @AmitShah ,Will bring BJP back to power in Karnatak…|803425147973697536|0|306|142379064|_dharam_vir| हिन्दू राष्ट्र भारत |Tue Nov 29 02:27:36 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|802821802640621568
bsy|@CMofKarnataka @PMOIndia @narendramodi @BSYBJP @JoshiPralhad @JagadishShettar @reachmbp https://t.co/TLEmsHsiKW|803425140243570689|0|0|353527191|gkarug|Bangalore|Tue Nov 29 02:27:35 2016|und|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803422744234733568|0|169|728830537775783936|roopnayandarak|Banjara Hills, Hyderabad|Tue Nov 29 02:18:03 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @India_Policy: BJP declares @BSYBJP the CM candidate in Karnataka. @AmitShah made the announcement in a rally in the State today. Siddhu…|803422081908150272|0|96|880915520|iCivilized|Toronto, Canada|Tue Nov 29 02:15:25 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802901729939312640
bsy|RT @nsitharaman: @BJP4India's @AmitShah asserts in the OBC rally, Bengaluru that @BJP4Karnataka led by @BSYBJP will form the nxt govt #Cong…|803420290504007680|0|39|78332533|bharativamsi|India|Tue Nov 29 02:08:18 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802881126003970048
bsy|RT @BSYBJP: Reviewed preparations for the massive OBC Samavesha to be held on 27th Nov addressed by 
Sh. @AmitShah at palace grounds,Bengal…|803418687495606272|0|97|2956659299|kesarwani_vinay||Tue Nov 29 02:01:56 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802122098470567936
bsy|RT @nsitharaman: @BJP4India's @AmitShah asserts in the OBC rally, Bengaluru that @BJP4Karnataka led by @BSYBJP will form the nxt govt #Cong…|803417721496928256|0|39|2669427680|subh851|delhi|Tue Nov 29 01:58:06 2016|en|\N|<a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>|802881126003970048
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803417085082738688|0|169|3220339147|Jaswinder0303|Pune, India|Tue Nov 29 01:55:34 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @vikasbha: Karnatak bjp's @BSYBJP will be CM candidate for 2018 assembly election.  Party president @AmitShah announces today at banglur…|803412301898362881|0|504|217466615|soumitro_9|Saabka saath saabka vikash..|Tue Nov 29 01:36:34 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|802857457705947136
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803407408005427201|0|147|801345037569245184|KanthiSBhat1|PANJA. Karnataka |Tue Nov 29 01:17:07 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: Sh. @AmitShah inaugurated the OBC morcha Samavesha by beating the drums. https://t.co/AoLeNBBxDY|803406837458444288|0|52|3159338544|VishalRabari9|Gujarat, India|Tue Nov 29 01:14:51 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802801905072095233
bsy|RT @BSYBJP: Addressed electrifying OBC Morcha Samavesha at Bengaluru inaugurated by Sh. @AmitShah ,Will bring BJP back to power in Karnatak…|803406754407071744|0|306|3159338544|VishalRabari9|Gujarat, India|Tue Nov 29 01:14:31 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802821802640621568
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803406734127550464|0|147|3159338544|VishalRabari9|Gujarat, India|Tue Nov 29 01:14:26 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803406698048126976|0|169|3159338544|VishalRabari9|Gujarat, India|Tue Nov 29 01:14:18 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: Received Sh. @AmitShah ji at Bengaluru for the massive BJP OBC morcha Samavesha https://t.co/7DvrEDhsW7|803406622127075328|0|260|3159338544|VishalRabari9|Gujarat, India|Tue Nov 29 01:13:59 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802767706810236928
bsy|RT @BSYBJP: Received Sh. @AmitShah ji at Bengaluru for the massive BJP OBC morcha Samavesha https://t.co/7DvrEDhsW7|803372897377120256|0|260|800257054904438784|Yash69008140|Hyderabad|Mon Nov 28 22:59:59 2016|en|\N|<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>|802767706810236928
bsy|RT @BSYBJP: Received Sh. @AmitShah ji at Bengaluru for the massive BJP OBC morcha Samavesha https://t.co/7DvrEDhsW7|803369826270019585|0|260|759190726051762177|chidiyawala29||Mon Nov 28 22:47:47 2016|en|\N|<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>|802767706810236928
bsy|RT @BJP4Karnataka: I compliment the people of Karnataka for loudly telling an emphatic No to the bandh: Sri. @BSYBJP https://t.co/OR1Ofc9vXT|803352944842330112|0|17|230272546|Tinkualwar|Mumbai|Mon Nov 28 21:40:42 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803210046616150016
bsy|RT @vikasbha: Karnatak bjp's @BSYBJP will be CM candidate for 2018 assembly election.  Party president @AmitShah announces today at banglur…|803351740456304640|0|504|3736882878|DiNu5050|Dongri / Mumbai|Mon Nov 28 21:35:55 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802857457705947136
bsy|RT @BSYBJP: Addressed electrifying OBC Morcha Samavesha at Bengaluru inaugurated by Sh. @AmitShah ,Will bring BJP back to power in Karnatak…|803339928511725568|0|306|31197002|a_r_j_u_n|Earth |Mon Nov 28 20:48:58 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|802821802640621568
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803333749723185152|0|169|716783983|hspartha|Salt Lake City, UT|Mon Nov 28 20:24:25 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|803204653122846721
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803329321637183488|0|169|2159377862|Muthesh_Dharma|Bangalore'd, Freelancer. |Mon Nov 28 20:06:50 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803328318607159296|0|147|2238718598|indopahadi||Mon Nov 28 20:02:50 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803323826243272705|0|147|2289109550|ArVr9|भारतखंडे, जम्बुद्वीपे|Mon Nov 28 19:44:59 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803323152516288512|0|147|122307745|logical_talk_|India|Mon Nov 28 19:42:19 2016|en|\N|<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>|803122419544141825
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803319870783819778|0|169|3301712197|athreyaster|Awaara Hoon|Mon Nov 28 19:29:16 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|803204653122846721
bsy|RT @IncNaushad: Today's #amitshah rally in the city has jammed entire North Bengaluru. Crores being spent to organize it. Did @BSYBJP make…|803318702695321606|0|32|3392068934|DeepakK64492574||Mon Nov 28 19:24:38 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|802846771885916160
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803315475794956288|0|169|2182341852|manjunathpatne|Banglore|Mon Nov 28 19:11:48 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @nsitharaman: @BJP4India's @AmitShah asserts in the OBC rally, Bengaluru that @BJP4Karnataka led by @BSYBJP will form the nxt govt #Cong…|803314616226807808|0|39|3010020157|RangamaheshT|bangalore|Mon Nov 28 19:08:24 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802881126003970048
bsy|RT @srivatsayb: Today's @amitshah rally in the city has jammed entire North Bengaluru. Crores being spent to organize it. Did @BSYBJP make…|803314568588038144|0|203|2411258982|trueindian131||Mon Nov 28 19:08:12 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802795981892792321
bsy|RT @BSYBJP: Addressed electrifying OBC Morcha Samavesha at Bengaluru inaugurated by Sh. @AmitShah ,Will bring BJP back to power in Karnatak…|803314249879744512|0|306|1931560316|MeraDharm|MOTHER INDIA|Mon Nov 28 19:06:56 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|802821802640621568
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803312525441830912|0|169|750421065130708992|RajibPratihari|Puri |Mon Nov 28 19:00:05 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803310783790649344|0|169|113843387|Bharath_Bal|Bangalore / Thirthahalli|Mon Nov 28 18:53:10 2016|en|\N|<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>|803204653122846721
bsy|RT @vikasbha: Karnatak bjp's @BSYBJP will be CM candidate for 2018 assembly election.  Party president @AmitShah announces today at banglur…|803310419926548480|0|504|3230625147|ParthPa07241800|Ahmedabad, Gujarat, India|Mon Nov 28 18:51:43 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802857457705947136
bsy|RT @srivatsayb: Today's @amitshah rally in the city has jammed entire North Bengaluru. Crores being spent to organize it. Did @BSYBJP make…|803309255159730177|0|203|2534282966|pri1us||Mon Nov 28 18:47:05 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|802795981892792321
bsy|@gandabherunda @BSYBJP @RAshokaBJP @AnanthKumar_BJP sir, Trend 2 b prevented  else bangalore vl b another malappuram, going by track record.|803308335835451392|0|0|770424098610569216|meenavyas50|Puducherry, India|Mon Nov 28 18:43:26 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @srivatsayb: Today's @amitshah rally in the city has jammed entire North Bengaluru. Crores being spent to organize it. Did @BSYBJP make…|803307753922031616|0|203|3045400420|Richasharma0971|United States|Mon Nov 28 18:41:07 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|802795981892792321
